Datetime,Close,High,Low,Open,Volume,SMA_100,SMA_20,MACD,Signal_Line,Composite_Score,YZ_Vol,Risk_Leverage,Entry_Price,Exit_Price,Signal_Core,Micro_PnL_TWD,Buy_PnL_TWD,Seller_PnL_TWD,Spread_PnL_TWD
2025-12-24 01:00:00+00:00,28377.509765625,28486.380859375,28336.80078125,28383.609375,0,27845.42595703125,27956.92705078125,156.1313244756784,105.92582468487457,1.0,0.08463762675003828,3.0,28333.9609375,30104.26953125,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-24 02:00:00+00:00,28346.51953125,28378.7890625,28280.58984375,28333.9609375,0,27855.5639453125,28000.78154296875,158.37474884837866,116.41560951757542,1.0,0.08466829138283109,3.0,28346.890625,30403.01953125,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-24 03:00:00+00:00,28352.080078125,28365.470703125,28302.859375,28346.890625,0,27866.62775390625,28048.103515625,158.7711534626178,124.8867183065839,1.0,0.08089783287159907,3.0,28312.0,30429.439453125,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-24 04:00:00+00:00,28327.83984375,28397.259765625,28305.640625,28312.0,0,27877.02666015625,28090.05400390625,155.3386750938662,130.97710966404037,1.0,0.07510933641909406,3.0,28330.5390625,30300.58984375,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-24 05:00:00+00:00,28378.220703125,28378.609375,28325.259765625,28330.5390625,0,27887.78326171875,28136.81650390625,154.89815603607713,135.76131893844772,1.0,0.07271510357336744,3.0,28443.48046875,30312.900390625,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-26 01:00:00+00:00,28464.0,28590.91015625,28404.33984375,28443.48046875,0,27896.46095703125,28167.91904296875,159.63059178383264,140.53517350752472,1.0,0.06078529275990464,3.0,28505.4609375,30567.2109375,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-26 02:00:00+00:00,28485.609375,28539.2109375,28451.1796875,28505.4609375,0,27905.87904296875,28204.22548828125,163.24301333226322,145.07674147247243,1.0,0.059165923973544296,3.0,28526.029296875,30587.939453125,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-26 03:00:00+00:00,28550.58984375,28563.439453125,28479.75,28526.029296875,0,27915.91205078125,28240.8705078125,169.39656603166077,149.94070638431012,1.0,0.05797180795419934,3.0,28550.439453125,30655.23046875,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-26 04:00:00+00:00,28546.1796875,28552.310546875,28498.5703125,28550.439453125,0,27926.14435546875,28282.4134765625,171.9354730208579,154.33965971161967,1.0,0.04712493566685584,3.0,28550.080078125,30595.779296875,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-26 05:00:00+00:00,28510.439453125,28556.060546875,28507.73046875,28550.080078125,0,27935.893046875,28321.51240234375,169.11419372582895,157.29456651446154,1.0,0.05009060033399638,3.0,28662.7890625,30558.859375,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-29 01:00:00+00:00,28771.7890625,28776.1796875,28595.349609375,28662.7890625,0,27947.27314453125,28355.700390625,185.8249643282943,163.0006460772281,1.0,0.05081050393907609,3.0,28774.150390625,30676.2109375,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-29 02:00:00+00:00,28753.2109375,28788.640625,28712.83984375,28774.150390625,0,27957.38125,28385.34794921875,195.31776933787842,169.46407072935818,1.0,0.048987265204421086,3.0,28751.880859375,30721.8203125,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-29 03:00:00+00:00,28777.109375,28824.58984375,28710.490234375,28751.880859375,0,27967.6768359375,28418.5423828125,202.43573671760532,176.05840392700762,1.0,0.04878173988196429,3.0,28777.48046875,30719.130859375,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-29 04:00:00+00:00,28789.080078125,28841.640625,28777.48046875,28777.48046875,0,27978.218828125,28452.28642578125,206.6604597092155,182.17881508344922,1.0,0.048535143367924354,3.0,28829.26953125,30670.609375,0,-250.0,-2500.0,4500.0,-1000.0
2025-12-29 05:00:00+00:00,28768.140625,28830.330078125,28758.890625,28829.26953125,0,27988.02783203125,28484.5484375,205.94493918601074,186.93203990396154,1.0,0.05304880518139385,3.0,28723.8203125,30705.060546875,0,-250.0,-2500.0,4500.0,-1000.0
